game_id,distance_metric,glove_fp,top_words,sorted_words,kendall_tau,p_value
1,Cosine,word2vec-google-news-300,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'street', 'suburb', 'city', 'downtown', 'area', 'eastside', 'community', 'subdivision', 'townhouse']",0.3059465623981753,2.3210523949453557e-24
1,Cosine,data/glove.6B/glove.6B.50d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'downtown', 'suburban', 'suburb', 'town', 'city', 'mall', 'nearby', 'outside', 'upscale']",0.35620638868097637,1.273964900889516e-32
1,Cosine,data/glove.6B/glove.6B.100d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'suburb', 'downtown', 'residential', 'area', 'suburban', 'city', 'town', 'apartment', 'community']",0.3577194549742054,6.947370955387943e-33
1,Cosine,data/glove.6B/glove.6B.200d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'downtown', 'suburb', 'upscale', 'suburban', 'area', 'apartment', 'residential', 'street', 'community']",0.3656228118888379,2.8080670177819624e-34
1,Cosine,data/glove.840B.300d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'downtown', 'suburb', 'suburban', 'city', 'street', 'town', 'community', 'area', 'apartment']",0.31686666505702166,3.6784516561471287e-26
1,Cosine,data/glove.twitter.27B/glove.twitter.27B.25d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'apartment', 'backyard', 'playground', 'campus', 'suburban', 'nearby', 'town', 'manhattan', 'street']",0.23053111762789183,1.664872889050864e-14
1,Cosine,data/glove.twitter.27B/glove.twitter.27B.50d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'backyard', 'town', 'downtown', 'nearby', 'street', 'neighbor', 'outside', 'apartment', 'farm']",0.23711306614532424,2.9434222465519063e-15
1,Cosine,data/glove.twitter.27B/glove.twitter.27B.100d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'backyard', 'neighbor', 'downtown', 'town', 'street', 'outside', 'nearby', 'apartment', 'suburban']",0.2560606060606061,1.5409790978096512e-17
1,Cosine,data/glove.twitter.27B/glove.twitter.27B.200d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'neighbor', 'downtown', 'town', 'backyard', 'street', 'outside', 'apartment', 'near', 'house']",0.24995112414467255,8.748285124434229e-17
1,Cosine,data/glove.42B.300d.txt,"['neighborhood', 'downtown', 'community', 'street', 'resident', 'neighbor', 'home', 'city', 'suburb', 'area']","['neighborhood', 'downtown', 'community', 'town', 'area', 'village', 'city', 'local', 'residential', 'nearby']",0.5210018430435167,8.781628051491572e-68
